backend,mesh,density,arm,state,repeat,request,ok,seconds,engagement,count_matched,quads,quad_ratio,singularities,singularity_ratio,angle_dev_mean,angle_dev_median,angle_dev_p95,flow_loop_mean_len,flow_turning_mean,hausdorff_p99,chamfer_mean,feature_recall,edge_length_cv,error
geo,fandisk,6000,mixed,off,0,6000,True,1.3,flag-unread,True,5214,0.9984680199157411,36,0.006889952153110048,6.913627229495006,4.931603362264852,18.284553013413916,579.3333333333334,7.712793222255921,0.003999527925321577,0.0016563992524695308,0.8983778625954199,0.15045089376211376,
geo,fandisk,6000,mixed,guided,0,6000,True,1.28,refused,True,5214,0.9984680199157411,36,0.006889952153110048,6.913627229495006,4.931603362264852,18.284553013413916,579.3333333333334,7.712793222255921,0.003999527925321577,0.0016563992524695308,0.8983778625954199,0.15045089376211376,
geo,fandisk,6000,pure,off,0,6000,True,0.73,flag-unread,True,5208,1.0,44,0.008445297504798464,6.468464750170629,4.37534666350372,16.730121362320887,434.0,8.08299967676916,0.004438244628309911,0.00167926120872583,0.7857824427480916,0.124784108797576,
geo,fandisk,6000,pure,guided,0,6000,True,0.77,refused,True,5208,1.0,44,0.008445297504798464,6.468464750170629,4.37534666350372,16.730121362320887,434.0,8.08299967676916,0.004438244628309911,0.00167926120872583,0.7857824427480916,0.124784108797576,
geo,rocker-arm,500,mixed,off,0,500,True,0.5,flag-unread,True,425,0.9725400457665904,66,0.15102974828375287,20.301057506709327,14.622555266547586,56.866683974395606,32.69230769230769,32.93992536091231,0.02145936466769021,0.005813757129445811,0.18809980806142035,0.5309658616160613,
geo,rocker-arm,500,mixed,guided,0,500,True,0.47,flag-unread,True,425,0.9725400457665904,66,0.15102974828375287,20.301057506709327,14.622555266547586,56.866683974395606,32.69230769230769,32.93992536091231,0.02145936466769021,0.005813757129445811,0.18809980806142035,0.5309658616160613,
geo,rocker-arm,500,pure,off,0,500,True,0.63,flag-unread,True,1998,1.0,185,0.09259259259259259,11.277845160670346,7.458772171102325,31.993769938561716,1332.0,22.636496707498495,0.007630790305140783,0.0021596213238150898,0.6333973128598849,0.3334958074607237,
geo,rocker-arm,500,pure,guided,0,500,True,0.64,flag-unread,True,1998,1.0,185,0.09259259259259259,11.277845160670346,7.458772171102325,31.993769938561716,1332.0,22.636496707498495,0.007630790305140783,0.0021596213238150898,0.6333973128598849,0.3334958074607237,
geo,rocker-arm,1000,mixed,off,0,1000,True,0.67,flag-unread,True,889,0.9888765294771968,54,0.059800664451827246,19.01985689128582,15.539107457353921,48.535418391063466,61.310344827586206,23.08417362428677,0.008973885121306886,0.003153278678291002,0.39923224568138194,0.539950970237024,
geo,rocker-arm,1000,mixed,guided,0,1000,True,0.63,flag-unread,True,889,0.9888765294771968,54,0.059800664451827246,19.01985689128582,15.539107457353921,48.535418391063466,61.310344827586206,23.08417362428677,0.008973885121306886,0.003153278678291002,0.39923224568138194,0.539950970237024,
geo,rocker-arm,1000,pure,off,0,1000,True,0.73,flag-unread,True,3306,1.0,320,0.09679370840895342,10.568217986772765,6.9861602416044875,30.971411068392285,944.5714285714286,20.411724751835354,0.0047264501597117465,0.001835110723945214,0.8042226487523992,0.34856500426651843,
geo,rocker-arm,1000,pure,guided,0,1000,True,0.72,flag-unread,True,3306,1.0,320,0.09679370840895342,10.568217986772765,6.9861602416044875,30.971411068392285,944.5714285714286,20.411724751835354,0.0047264501597117465,0.001835110723945214,0.8042226487523992,0.34856500426651843,
geo,rocker-arm,1500,mixed,off,0,1500,True,0.8,flag-unread,True,1219,0.9951020408163266,48,0.03908794788273615,13.548870896318013,9.807497966722508,38.193782086724475,45.148148148148145,20.515371324719275,0.006282629314025617,0.0024866039017052547,0.6218809980806143,0.563847887657991,
geo,rocker-arm,1500,mixed,guided,0,1500,True,0.75,flag-unread,True,1219,0.9951020408163266,48,0.03908794788273615,13.548870896318013,9.807497966722508,38.193782086724475,45.148148148148145,20.515371324719275,0.006282629314025617,0.0024866039017052547,0.6218809980806143,0.563847887657991,
geo,rocker-arm,1500,pure,off,0,1500,True,0.63,flag-unread,True,1696,1.0,129,0.07615112160566706,26.204775871082532,22.331154625624812,65.35987695402771,565.3333333333334,35.24793899116632,0.025743315206417393,0.0038050258251637924,0.3474088291746641,0.4756433344306732,
geo,rocker-arm,1500,pure,guided,0,1500,True,0.61,flag-unread,True,1696,1.0,129,0.07615112160566706,26.204775871082532,22.331154625624812,65.35987695402771,565.3333333333334,35.24793899116632,0.025743315206417393,0.0038050258251637924,0.3474088291746641,0.4756433344306732,
geo,rocker-arm,2000,mixed,off,0,2000,True,0.86,flag-unread,True,1646,0.9915662650602409,57,0.03433734939759036,14.375146235002894,10.493356812312186,41.52439836524637,60.96296296296296,18.922805053722126,0.005416565561889907,0.002205738782173804,0.817658349328215,0.5642567452607115,
geo,rocker-arm,2000,mixed,guided,0,2000,True,0.88,flag-unread,True,1646,0.9915662650602409,57,0.03433734939759036,14.375146235002894,10.493356812312186,41.52439836524637,60.96296296296296,18.922805053722126,0.005416565561889907,0.002205738782173804,0.817658349328215,0.5642567452607115,
geo,rocker-arm,2000,pure,off,0,2000,True,0.57,flag-unread,True,1748,1.0,78,0.04462242562929062,15.793572924245774,11.887380568537615,43.49903491701285,349.6,21.81043043438483,0.008791734162550925,0.002193396679524864,0.491362763915547,0.28491296242820596,
geo,rocker-arm,2000,pure,guided,0,2000,True,0.59,flag-unread,True,1748,1.0,78,0.04462242562929062,15.793572924245774,11.887380568537615,43.49903491701285,349.6,21.81043043438483,0.008791734162550925,0.002193396679524864,0.491362763915547,0.28491296242820596,
geo,rocker-arm,3000,mixed,off,0,3000,True,1.25,flag-unread,True,2492,1.0,53,0.02126805778491172,13.498516941919757,9.45647632922897,40.1683967003811,87.43859649122807,16.03937311607227,0.004172030884331959,0.0019151292116630478,0.9040307101727447,0.5868600239168861,
geo,rocker-arm,3000,mixed,guided,0,3000,True,1.28,flag-unread,True,2492,1.0,53,0.02126805778491172,13.498516941919757,9.45647632922897,40.1683967003811,87.43859649122807,16.03937311607227,0.004172030884331959,0.0019151292116630478,0.9040307101727447,0.5868600239168861,
geo,rocker-arm,3000,pure,off,0,3000,True,0.75,flag-unread,True,3022,1.0,112,0.03708609271523179,13.091325195568826,8.340520174005768,43.68691001763161,549.4545454545455,19.704749293977525,0.006559887986554099,0.0019081526280803748,0.6257197696737045,0.32398731797876834,
geo,rocker-arm,3000,pure,guided,0,3000,True,0.76,flag-unread,True,3022,1.0,112,0.03708609271523179,13.091325195568826,8.340520174005768,43.68691001763161,549.4545454545455,19.704749293977525,0.006559887986554099,0.0019081526280803748,0.6257197696737045,0.32398731797876834,
geo,rocker-arm,4500,mixed,off,0,4500,True,1.53,flag-unread,True,4038,0.9992576095025983,57,0.01409844175117487,13.175506981179732,8.736520347287232,40.911744810293804,269.2,13.151954283890118,0.003899843668077693,0.001735157003311735,0.9520153550863724,0.6003455498554694,
